Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
30	12	2012	11	20	0	2.1
31	12	2012	11	20	0	2.1
1	1	2013	11	19	0	1.9
2	1	2013	11	21	0	2.2
3	1	2013	11	20	0	2.1
4	1	2013	10	19	0.01	2
5	1	2013	10	18	0.13	1.9
6	1	2013	11	18	0	1.8
7	1	2013	11	17	0	1.7
8	1	2013	10	17	0.1	1.8
9	1	2013	6	11	0.01	1.3
10	1	2013	7	13	0	1.5
11	1	2013	9	16	0.61	1.7
12	1	2013	10	18	0.05	1.9
13	1	2013	10	19	0.02	2.1
14	1	2013	9	19	0.2	2.2
15	1	2013	8	20	0.02	2.4
16	1	2013	8	21	0.04	2.5
17	1	2013	12	21	0.08	2.2
18	1	2013	11	19	0	2
19	1	2013	10	20	0.02	2.3
20	1	2013	12	22	0.01	2.4
21	1	2013	11	28	0.88	3.5
22	1	2013	15	24	0	2.5
23	1	2013	12	19	0	2
24	1	2013	12	21	0.36	2.3
25	1	2013	16	22	0.23	2.1
26	1	2013	13	22	0.14	2.4
27	1	2013	11	18	0.02	2
28	1	2013	9	17	0.04	2
29	1	2013	8	16	0.03	2
30	1	2013	11	18	0	2
31	1	2013	10	16	0.01	1.8
1	2	2013	10	16	0	1.8
2	2	2013	8	18	0	2.3
3	2	2013	11	22	0.12	2.7
4	2	2013	9	26	0.04	3.5
5	2	2013	16	25	0.68	2.8
6	2	2013	14	17	0.02	1.6
7	2	2013	12	21	0.82	2.5
8	2	2013	11	22	4.65	2.8
9	2	2013	13	19	0.41	2.1
10	2	2013	11	18	0.01	2.1
11	2	2013	11	19	0	2.3
12	2	2013	9	19	0	2.5
13	2	2013	9	19	0	2.5
14	2	2013	13	23	0	2.8
15	2	2013	11	20	0	2.5
16	2	2013	10	19	0	2.5
17	2	2013	10	18	0	2.3
18	2	2013	11	19	0	2.4
19	2	2013	10	19	0	2.5
20	2	2013	11	22	0	3
21	2	2013	12	24	0	3.2
22	2	2013	15	27	0	3.5
23	2	2013	16	21	0	2.2
24	2	2013	12	23	0	3.1
25	2	2013	11	26	0.03	3.8
26	2	2013	15	25	0	3.2
27	2	2013	10	22	0	3.2
28	2	2013	13	22	0.29	2.9
1	3	2013	11	21	0.27	2.9
2	3	2013	12	27	0.48	4
3	3	2013	17	29	1.89	3.9
4	3	2013	15	21	1.59	2.5
5	3	2013	12	19	0	2.5
6	3	2013	11	20	0	2.8
7	3	2013	9	22	0	3.4
8	3	2013	12	27	0	4.1
9	3	2013	14	22	0	2.9
